Delta fr 0°	Delta fr err 0°	Delta n_s 0°	Delta n_s 0° err	Delta fr 45°	Delta fr err 45°	Delta n_s 45°	Delta n_s 45° err	Delta fr 90°	Delta fr err 90°	Delta n_s 90°	Delta n_s 90° err	Delta fr 135°	Delta fr err 135°	Delta n_s 135°	Delta n_s 135° err	fields 0°	fields 45°	fields 90°	fields 135°			
-3.72171688139594E-4	3.00184205308009E-5	-9.46912619515791E-4	7.63544383446375E-5	-0.00132826725733347	1.76748026742585E-5	-0.00337617361575303	4.48760051310119E-5	-0.00257955352027477	3.8209668288844E-5	-0.00654788597868538	9.67754596413792E-5	-0.00133155476072899	2.42994752928337E-5	-0.00338440993599918	6.16839599183444E-5	0.05	0.05	0.05	0.05			
-4.45663058982357E-4	3.11367071475214E-5	-0.00113380888140722	7.91877354889745E-5	-0.00165983894979643	1.69291887614306E-5	-0.00421749773207209	4.2957535586917E-5	-0.00340559727652591	3.94304484983439E-5	-0.00863725053898716	9.97064882264506E-5	-0.0017200453362582	2.22591866150859E-5	-0.00437006225999519	5.64627660123092E-5	0.055	0.055	0.055	0.055			
-5.1972093180011E-4	3.02031007932478E-5	-0.0013221167764539	7.68037701325872E-5	-0.00200790920606334	1.45658735266147E-5	-0.00510005812248226	3.69428171719325E-5	-0.00421502891385215	4.2856878973914E-5	-0.0106811040232395	1.08190708581782E-4	-0.00209227964717554	2.09872558715361E-5	-0.00531372005728743	5.31988571656838E-5	0.06	0.06	0.06	0.06			
-6.39716677386162E-4	2.95210326865836E-5	-0.0016271696128495	7.50538574901562E-5	-0.00235198630895771	1.21924148872953E-5	-0.00597186296900197	3.09139482278892E-5	-0.00485161683614523	4.12887984964986E-5	-0.012286094427866	1.04108965372725E-4	-0.00249786332430816	1.54051122466798E-5	-0.00634108740772014	3.90288690723892E-5	0.065	0.065	0.065	0.065			
-6.33525552461704E-4	3.01576177122551E-5	-0.0016114324248693	7.66725133174658E-5	-0.00271683104623686	1.13266165296129E-5	-0.00689560351576004	2.8707014430475E-5	-0.00496452819120708	4.10219185436572E-5	-0.012570548347474	1.03414518304206E-4	-0.0029343057310718	1.08706781658886E-5	-0.00744564996528544	2.75380920881488E-5	0.07	0.07	0.07	0.07			
-6.71342730841096E-4	3.13383609311944E-5	-0.00170755653525671	7.96678462951818E-5	-0.00319555894629113	1.72026248561847E-5	-0.00810661440498981	4.35259782504342E-5	-0.00666303767898913	4.52185237566583E-5	-0.0168414708366208	1.13599681793602E-4	-0.00349749506706406	1.189681884459E-5	-0.00886950073144953	3.01018768769207E-5	0.075	0.075	0.075	0.075			
-8.1088414676741E-4	3.13134666190174E-5	-0.00206217867284469	7.95844450583096E-5	-0.00380801210359472	3.06412029562706E-5	-0.009654138250297	7.73943910113413E-5	-0.00702124898435361	4.62537781477639E-5	-0.0177402666193563	1.16114331232289E-4	-0.00431137702424944	1.88679560634391E-5	-0.0109241945533358	4.76254627767292E-5	0.08	0.08	0.08	0.08			
-8.18479914942811E-4	2.93674129287935E-5	-0.00208147913197195	7.46397616139915E-5	-0.00418820311448492	3.0389141934076E-5	-0.0106137956267141	7.66992413306484E-5	-0.00883472047104571	4.70302100913904E-5	-0.0222801978779641	1.1763962585728E-4	-0.00437271295467751	1.84571426146346E-5	-0.0110788993662206	4.65844509359717E-5	0.085	0.085	0.085	0.085			
-9.01139688122303E-4	2.66947101858194E-5	-0.00229149358691895	6.78409555789822E-5	-0.00447378184711508	1.88630911868519E-5	-0.0113341370362796	4.76055634950888E-5	-0.00931351979942634	4.85382408514439E-5	-0.0234759855569778	1.21289191189408E-4	-0.00503504823824514	1.9281636871926E-5	-0.0127482162042246	4.86000682454721E-5	0.09	0.09	0.09	0.09			
-9.40789589156446E-4	2.59452892245317E-5	-0.00239221958467248	6.59333216921137E-5	-0.00520059467426714	2.89500828613569E-5	-0.0131655075709329	7.29209501321213E-5	-0.00968760744737439	4.85456570617699E-5	-0.024409428739678	1.21218117764832E-4	-0.00543135072491703	6.79540888023177E-5	-0.0137459343386845	1.71019611405943E-4	0.095	0.095	0.095	0.095			
