B	delta ns 90	delta ns err 90	delta ns 0	delta ns err 0
0.31	-0.0250020243861556	8.55042035611425E-5	-0.00766872420186207	4.85546157944757E-5
0.33	-0.0250996182552227	7.05161416956517E-5	-0.00831199133562707	5.88150318432639E-5
0.35	-0.0249251626880068	7.46486601903999E-5	-0.00897999672164963	5.66640599222723E-5
0.37	-0.0257301851434251	5.47704337288214E-5	-0.00979315644990912	5.57932422975953E-5
0.39	-0.0258445773627674	9.06923493968926E-5	-0.0108306645886379	5.61081410897825E-5
0.41	-0.0263617668647605	7.98489883470754E-5	-0.0117210485722159	5.12303994556836E-5
0.43	-0.026466740652584	9.50638316554937E-5	-0.0127042603221263	5.20383418508926E-5
0.45	-0.0271925932696807	9.12799822988869E-5	-0.0138763625469983	5.27946133817617E-5
0.47	-0.0276021600510196	6.47367412588186E-5	-0.0152160448992894	4.74769286655391E-5
0.49	-0.0277804964182808	5.95451642091915E-5	-0.0166661977670524	4.58018494055738E-5
0.51	-0.0282642470157247	1.06294956994675E-4	-0.0181859328494318	4.58829378695111E-5
0.53	-0.0287772259285111	8.67393896258527E-5	-0.0197059614387595	4.6361454078788E-5
0.55	-0.0291687979783041	1.04260386360187E-4	-0.0213181156756336	4.59277328805799E-5
