	25 mT delta fr	25 mT delta fr err	25 mT delta ns	25 mT delta ns err	50 mT delta fr	50 mT delta fr err	50 mT delta ns	50 mT delta ns err	75 mT delta fr	75 mT delta fr err	75 mT delta ns	75 mT delta ns err	100 mT delta fr	100 mT delta fr err	100 mT delta ns	100 mT delta ns err	
150	-3.19940165569134E-4	1.49723833929463E-5	-0.00100392104423911	4.69684899452065E-5	-0.00187453661118998	8.91192564071358E-5	-0.0058624671609391	2.77925890241128E-4	-0.00680840186031319	0.00117971552461667	-0.0211087887747222	0.0036172686677973	-0.0109486831170533	0.00106459349665116	-0.0337051869124694	0.00321958995321814	150
165	-2.63307723099591E-4	1.63688910661156E-5	-8.26294188265838E-4	5.13547325630554E-5	-0.00143332993153291	8.15907435589078E-5	-0.00448585935336595	2.54809474693306E-4	-0.00541485373238694	0.00114086427934998	-0.016826213402499	0.00351400148034785	-0.0107652011548231	0.00106743246836374	-0.0331501375430243	0.00323008621133447	165
180	-1.49630366100235E-4	1.76695673415938E-5	-4.69647221456072E-4	5.54509822224046E-5	-8.62167469935469E-4	5.79881612803643E-5	-0.00270082573808146	1.81444168608186E-4	-0.00232658215026364	4.36559057017112E-5	-0.00726607162809697	1.36059223837615E-4	-0.0113864872213871	0.0010964540482332	-0.03502825713771	0.00331126387439754	180
195	-8.40227200451196E-5	1.83193479617124E-5	-2.63751818189497E-4	5.75001113295005E-5	-3.48341863198264E-4	5.1707938795172E-5	-0.00109213320479668	1.62045227176424E-4	-0.00107089923795228	5.86917078273056E-5	-0.00335134766143311	1.83434198951595E-4	-0.00132496471043741	5.11848902584122E-5	-0.00414297176043375	1.59840526089859E-4	195
210	-4.44887907040324E-6	1.84560870982989E-5	-1.39670915921765E-5	5.79419190724923E-5	1.00952859560152E-5	4.44977667087155E-5	3.16696555231095E-5	1.39594364592518E-4	-2.38777527121454E-4	5.46812899272319E-5	-7.48263667114486E-4	1.71308937670162E-4	-4.91686157484748E-4	5.67082018759252E-5	-0.00153952278556714	1.77463666983461E-4	210
225	-2.53144414168065E-5	1.78978174364645E-5	-7.9471035634389E-5	5.61860905919081E-5	9.89037623878679E-5	4.16872507802758E-5	3.10313500296879E-4	1.30808704009892E-4	-5.75703403464538E-6	5.16383220337294E-5	-1.80478483941322E-5	1.61881049899097E-4	1.22808289226073E-6	5.43192019144431E-5	3.84835756236169E-6	1.70216507646627E-4	225
240	5.04534855284278E-5	1.73837719490651E-5	1.58411113748716E-4	5.45834804860331E-5	-1.08164662324815E-4	4.3893622742797E-5	-3.39254831810209E-4	1.37654246765089E-4	-3.16433869637345E-4	5.5273289841763E-5	-9.91491625899448E-4	1.73125506219896E-4	-6.14879266337416E-4	5.68571671795857E-5	-0.00192486665914301	1.77869678714828E-4	240
255	-1.18131050024093E-4	1.68420631498667E-5	-3.70798959809635E-4	5.28589476486274E-5	-5.14545826626453E-4	4.72512916256749E-5	-0.00161278288592001	1.48013061468837E-4	-0.00117093500480436	6.75815079090079E-5	-0.00366380826435908	2.11132829005744E-4	-0.00196349806404283	4.67065644850489E-5	-0.00613318553422409	1.45650275361758E-4	255
270	-1.90294674348313E-4	1.71064219325284E-5	-5.97241126141846E-4	5.36782205676154E-5	-9.96670985421415E-4	5.51502666492127E-5	-0.00312148490759034	1.72500829403648E-4	-0.00203681160720252	4.60344939138623E-5	-0.00636410448555627	1.43555243403701E-4	-0.0114769306516008	0.00108516219504946	-0.0353013498619831	0.00327620870651932	270
285	-3.224638833862E-4	1.70345852362653E-5	-0.00101183588212861	5.34341248368357E-5	-0.00149071682496746	8.01424859798316E-5	-0.00466502436066762	2.50243789706683E-4	-0.00673827482208715	0.00113922644963711	-0.0208937407923024	0.00349391649116414	-0.0111002824187787	0.00106108742967961	-0.0341635405607763	0.00320741887074672	285
